row_index,solution_id,fitness,deg_CmpFan_s_mapWc_in,deg_CmpH_s_mapEff_in,deg_TrbH_s_mapEff_in
986,0,0.006750587159807107,-0.00547387253806169,-0.04453903947518059,-0.017532660865495278
986,1,0.006891657880373023,-0.005464843316071684,-0.04453903947518059,-0.01754345672484888
986,2,0.0071438759397707335,-0.005451979828378561,-0.04453903947518059,-0.0175381170708628
986,3,0.007902351554036131,-0.005440834800359264,-0.04456821014110754,-0.017546781473553638
986,4,0.007902925723471387,-0.0054391590284839815,-0.04453903947518059,-0.017546406225157633
837,0,0.00583036268823305,-0.004971607024713616,-0.041809684221463334,-0.016409205282724534
837,1,0.00586855890954354,-0.0049714042678279105,-0.04178606617857865,-0.016426513782897566
837,2,0.006042082275040088,-0.004971681561300621,-0.041827972948771865,-0.016416906691027567
837,3,0.006046379251504413,-0.004971478982862857,-0.04181536752037622,-0.016425644513197505
837,4,0.006088518291338504,-0.004971597057646725,-0.04176635805376703,-0.016418078316859104
174,0,0.02168434011725618,-0.0021698703414884377,0.0,-0.02833480474869672
174,1,0.023512281803385455,-0.0021698703414884377,0.0,-0.02820598746894697
174,2,0.02463921910565518,-0.0021698703414884377,0.0,-0.028501090675440117
174,3,0.03193231161470143,-0.0021698703414884377,0.0,-0.028002082079356103
174,4,0.03404544112397848,-0.0021698703414884377,0.0,-0.028707427875234864
174,5,0.03597357262531503,-0.0021698703414884377,-0.0005599028272096279,-0.02833480474869672
174,6,0.04197372858710201,-0.0021698703414884377,-0.0007060021116342184,-0.02833480474869672
145,0,0.005659035252368398,-0.001893873563537724,-0.0280719597709084,0.0
145,1,0.006884595527086892,-0.001893873563537724,-0.02799393663506052,0.0
196,0,0.007844440741057201,-0.003963605757713906,-0.04541625583009788,0.0
196,1,0.01549658155342933,-0.003963605757713906,-0.04516672600322186,0.0
