row_index,configuration,removed,type,fitness,rmse,err_Fan Wc,err_HPC Eff,err_HPT Eff
53,BASELINE,None,baseline,0.0026554642238866117,0.000499193330141886,2.1584663182996205e-05,0.0007208819361608793,0.00047691223407106756
53,No HPC_Tin,HPC_Tin,sensor,0.0004916701746904531,0.0009560663870764596,0.0006527501891882776,0.001039067392529236,0.0011119554639415496
53,No LPT_Tin,LPT_Tin,sensor,6.636826508228444e-05,0.009523993536426892,0.0004584380074186545,0.013819956706255401,0.008995442728197654
53,No HPC_Pout_st,HPC_Pout_st,sensor,0.0002365268767799729,0.003849113799179095,2.646326038791046e-06,0.005297127687023817,0.004048143078180041
