row_index,solution_id,fitness,deg_CmpFan_s_mapWc_in,deg_CmpH_s_mapEff_in,deg_TrbH_s_mapEff_in
94,0,1.538808906211929e-05,-0.04233072395375703,-0.014987155445111307,-0.042151751297720086
92,0,8.678758554661779e-07,-0.03443212772432288,-0.05,-0.02276580249495509
59,0,5.942935686658105e-06,-0.025677432546877803,-0.042099547940433635,-0.013821231720784793
18,0,4.13287794014531e-05,-0.04785227372383366,-0.013524583101965117,-0.004248378922830654
46,0,5.443726010890285e-07,0.010559072384962762,-0.022644082234867843,-0.009024454060645035
