row_index,best_fitness,rmse,elapsed_time,sim_calls,generations,true_Fan Wc,est_Fan Wc,err_Fan Wc,true_HPC Eff,est_HPC Eff,err_HPC Eff,true_HPT Eff,est_HPT Eff,err_HPT Eff
94,1.538808906211929e-05,0.00454303400475981,1112.161204814911,12207,135,-0.0423308543450479,-0.04233072395375703,1.3039129086872547e-07,-0.021224929649972,-0.014987155445111307,0.006237774204860692,-0.0373551226006679,-0.042151751297720086,0.004796628697052184
92,8.678758554661779e-07,0.019012116307741498,445.884886264801,4749,54,-0.0344338915218417,-0.03443212772432288,1.763797518823662e-06,-0.0240826556616836,-0.05,0.0259173443383164,-0.0430801560124911,-0.02276580249495509,0.02031435351753601
59,5.942935686658105e-06,0.012587534754331676,1055.0964868068695,11536,124,-0.0256787817532461,-0.025677432546877803,1.3492063682951638e-06,-0.0250036572281465,-0.042099547940433635,0.017095890712287135,-0.0273515167328494,-0.013821231720784793,0.013530285012064606
18,4.13287794014531e-05,0.0009967215663534263,968.736359834671,10339,115,-0.0478527432414646,-0.04785227372383366,4.6951763094105203e-07,-0.0148860062160554,-0.013524583101965117,0.0013614231140902829,-0.0031868288644368,-0.004248378922830654,0.0010615500583938536
46,5.443726010890285e-07,0.0017114279512941474,765.0942785739899,7992,87,0.0105589258939882,0.010559072384962762,1.4649097456256865e-07,-0.0202890086079037,-0.022644082234867843,0.002355073626964143,-0.0108246165776226,-0.009024454060645035,0.0018001625169775642
