data_type,n_contexts,n_sensors,n_measurements,contexts,sensors,mean_rmse,std_rmse,mean_fitness,std_fitness,mean_time,std_time,total_time,mean_sim_calls,mean_generations
clean,1,1,1,['CLIMB2'],['HPC_Tin'],0.007119997516374446,0.003919709571243744,4.68585111312691e-06,9.424432412796208e-06,1795.2735493183136,579.4352709561913,8976.367746591568,9377.6,69.0
clean,1,2,2,['CLIMB2'],"['HPC_Tin', 'LPT_Tin']",0.008492683858095946,0.004748188452198528,0.00036097106400545455,0.0002474737106606866,2430.1895192146303,560.750072100212,12150.94759607315,13598.0,100.8
clean,1,3,3,['CLIMB2'],"['HPC_Tin', 'LPT_Tin', 'HPC_Pout_st']",0.0010878396028564804,0.0009448882237340016,0.004471538756257056,0.0038664360291764833,5717.001706361771,1050.8050138429592,28585.008531808853,30401.0,221.8
noisy,1,1,1,['CLIMB2'],['HPC_Tin'],0.01807924833442077,0.007339569592059645,3.033411300767309e-07,1.0070752944833829e-07,1742.6242191314698,372.40417252615146,8713.121095657349,9584.6,72.0
noisy,1,2,2,['CLIMB2'],"['HPC_Tin', 'LPT_Tin']",0.007471818524833929,0.005914915904546538,0.00022519443660301504,0.0003676828576908799,2053.0330176830294,270.943199769962,10265.165088415146,11635.8,88.2
noisy,1,3,3,['CLIMB2'],"['HPC_Tin', 'LPT_Tin', 'HPC_Pout_st']",0.004537444435086718,0.003808994703520357,0.004978638488997394,0.004168806367520133,5012.464642620087,926.9547072219284,25062.323213100433,29409.6,215.2
