row_index,configuration,removed,type,fitness,rmse,err_Fan Wc,err_HPC Eff,err_HPT Eff
53,BASELINE,None,baseline,0.00020093388933390587,0.0017768956420947807,2.1060454054517338e-06,0.0024404231814409982,0.0018752078894737016
53,No HPC_Tin,HPC_Tin,sensor,7.149366538043383e-05,0.010060012572213126,0.016612288830559197,0.0003128208366240254,0.0052483865895635445
53,No LPT_Tin,LPT_Tin,sensor,0.0,0.018210283026928887,0.006933180818000734,0.030767999312292182,0.0003231807950009047
