row_index,best_fitness,rmse,elapsed_time,sim_calls,generations,true_Fan Wc,est_Fan Wc,err_Fan Wc,true_HPC Eff,est_HPC Eff,err_HPC Eff,true_HPT Eff,est_HPT Eff,err_HPT Eff
342,1.2895699248445663e-07,0.02527862191979901,2092.2051653862,12512,95,-0.0049997128959824,-0.03784820095275597,0.03284848805677357,-0.0361508488931201,-0.009674712672751926,0.026476136220368172,-0.0256600598825592,-0.013954624319670388,0.01170543556288881
970,8.158619776152687e-06,0.014718046057732428,1233.008749961853,7449,55,-0.0043867310003891,-0.024110952787522406,0.019724221787133307,-0.0338827731788864,-0.02086563524420422,0.013017137934682177,-0.0219968792404919,-0.012438017689342976,0.009558861551148925
104,2.609182550386032e-07,0.012427676055220225,1263.1338789463043,7740,55,-0.0029690377580771,0.013768164573340978,0.01673720233141808,-0.021036241932841,-0.025650468583132746,0.004614226650291747,-0.0164868202546485,-0.029211456474886505,0.012724636220238006
316,2.6302470141809783e-07,0.021302050415039093,1414.8420317173004,8547,63,-0.0043358652059885,-0.03159905992631782,0.02726319472032932,-0.0311356331645399,-0.008186042770748012,0.022949590393791887,-0.0223823698066298,-0.012823783611319119,0.009558586195310682
861,3.5685377081250046e-07,0.019740009411919546,1283.344488620758,7730,57,-0.0054168076768771,-0.029031068804661685,0.023614261127784586,-0.0376022790719242,-0.013726625900507232,0.023875653171416968,-0.0252978773530194,-0.018869520504257387,0.006428356848762012
