data_type,n_contexts,n_sensors,n_measurements,contexts,sensors,mean_rmse,std_rmse,mean_fitness,std_fitness,mean_time,std_time,total_time,mean_sim_calls,mean_generations
clean,1,1,1,['CLIMB1'],['HPC_Tin'],0.01347811032936649,0.005282106067154937,4.712627851230858e-07,6.453031448115602e-07,1991.6210540294646,498.4304121943014,9958.105270147324,9288.6,70.6
clean,1,2,2,['CLIMB1'],"['HPC_Tin', 'LPT_Tin']",0.008088571239449987,0.006723503047227792,1.958021128551794e-05,2.37014677659169e-05,2564.990146112442,443.70990438702796,12824.95073056221,12265.6,89.6
clean,1,3,3,['CLIMB1'],"['HPC_Tin', 'LPT_Tin', 'HPC_Pout_st']",0.0018989925879480374,0.0007799888906136034,0.006302516441265766,0.00256614842269143,5727.040080928802,2197.0777530081677,28635.200404644012,27190.2,197.8
noisy,1,1,1,['CLIMB1'],['HPC_Tin'],0.012657082207047924,0.007023621845259376,3.3235403362449257e-06,6.466049980881856e-06,1792.9194405078888,219.99995705128183,8964.597202539444,8320.0,62.0
noisy,1,2,2,['CLIMB1'],"['HPC_Tin', 'LPT_Tin']",0.006660738715540166,0.004910597480647039,0.00016983980040785577,0.00018544064284445024,2829.002040433884,552.298229821306,14145.010202169418,14047.6,103.2
noisy,1,3,3,['CLIMB1'],"['HPC_Tin', 'LPT_Tin', 'HPC_Pout_st']",0.010446729063490494,0.0046852998132638525,0.009553753191744386,0.00683672239971418,4887.985786581039,1976.3842877593156,24439.928932905197,25768.0,191.2
