row_index,solution_id,fitness,deg_CmpFan_s_mapWc_in,deg_CmpH_s_mapEff_in,deg_TrbH_s_mapEff_in
509,0,0.00022713962030808241,-0.005265145858630451,-0.04168575426821146,-0.025965585208952636
318,0,0.002914996779870528,-0.004308619188498281,-0.03035476860121172,-0.023531031467520135
318,1,0.00368675087605489,-0.004308588072608111,-0.030354807461650462,-0.023500491024171323
797,0,0.0011691047690320052,-0.006477123540445478,-0.04261826805609302,-0.030712507872618103
510,0,0.0010152718120535291,-0.0052812132863013055,-0.04138516136213047,-0.026477553527272733
491,0,0.0076818074964954235,-0.004401340478898322,-0.03441727856816043,-0.02645047543329961
491,1,0.0077527117751291525,-0.0044162501874510035,-0.03441727856816043,-0.026450365806976937
491,2,0.007775047972869752,-0.004401340478898322,-0.03444590640088653,-0.02644999116848975
491,3,0.008235544423005801,-0.004401340478898322,-0.03441727856816043,-0.026413224188625288
491,4,0.008631395488030448,-0.004401340478898322,-0.034353815783311224,-0.02645054292738612
491,5,0.01427439684210183,-0.004308801904276165,-0.03441727856816043,-0.026450394251747434
