row_index,solution_id,fitness,deg_CmpFan_s_mapWc_in,deg_CmpH_s_mapEff_in,deg_TrbH_s_mapEff_in
144,0,1.2492361181224724e-05,-0.0019360254062125094,-0.005857816775054,-0.016645240645627758
107,0,1.6267851095825542e-05,-0.0030791914216470413,-0.000848737039200607,-0.03294860164491866
302,0,1.2909760671159033e-05,-0.004107003781418501,-0.022796388588486375,-0.02499589159486708
235,0,5.1554095302431e-05,-0.0022167106675666185,-0.011100397648934765,-0.016914514694625696
585,0,7.382057887636927e-05,-0.0020289933078923594,-0.02359725570538166,-0.013961129323185826
