data_type,n_contexts,n_sensors,n_measurements,contexts,sensors,mean_rmse,std_rmse,mean_fitness,std_fitness,mean_time,std_time,total_time,mean_sim_calls,mean_generations
clean,1,1,1,['CRUISE'],['HPC_Tin'],0.007731132022929551,0.0031518281361852555,1.4912785442093568e-05,2.746014235184454e-05,1071.1142000675202,291.62272734883726,5355.571000337601,9578.4,71.0
clean,1,2,2,['CRUISE'],"['HPC_Tin', 'LPT_Tin']",0.010725456870520853,0.003461827798203791,0.0002464336114878432,0.0001727353142975078,1816.0032399654388,831.3503316310007,9080.016199827194,15774.8,116.8
clean,1,3,3,['CRUISE'],"['HPC_Tin', 'LPT_Tin', 'HPC_Pout_st']",0.0005643368519635761,0.00028932903079884764,0.0035149912286955597,0.0016030725133259467,3444.5188003063204,430.68417721458053,17222.5940015316,30814.2,226.0
noisy,1,1,1,['CRUISE'],['HPC_Tin'],0.014217680703171903,0.008290414797625507,4.962471995773333e-07,5.867679198632916e-07,1120.069460248947,296.47659087748553,5600.347301244736,9900.8,73.2
noisy,1,2,2,['CRUISE'],"['HPC_Tin', 'LPT_Tin']",0.008493152145482397,0.003654720677963027,0.0003121180140773197,0.00028591427922177706,2335.4488001823424,1273.5363979502486,11677.244000911713,20591.2,151.8
noisy,1,3,3,['CRUISE'],"['HPC_Tin', 'LPT_Tin', 'HPC_Pout_st']",0.002076017827968983,0.002003669501841672,0.002860884607348583,0.001404209847597292,2413.116898918152,1241.524929668125,12065.58449459076,21032.0,153.6
