row_index,solution_id,fitness,deg_CmpFan_s_mapWc_in,deg_CmpH_s_mapEff_in,deg_TrbH_s_mapEff_in
788,0,0.0069614351864275455,-0.006053460647169021,-0.03912448801681975,-0.03102811495982122
788,1,0.009827018252357435,-0.0060534575448081655,-0.03924440796826733,-0.03102811616468018
788,2,0.01001037057197435,-0.0060534575448081655,-0.03900723372969917,-0.03102811616468018
521,0,0.009642118389817517,-0.005379375058486761,-0.0410179576469798,-0.029943314723137746
521,1,0.009700679390367598,-0.005368595832913225,-0.04101795009901199,-0.029943175588523625
521,2,0.009716109152193285,-0.005368595833758138,-0.04103132507370023,-0.029943753193239622
521,3,0.012251930790650147,-0.005419807579321657,-0.041017915813449,-0.029943177165944603
521,4,0.01331892631910024,-0.005368595832951927,-0.040868689560005715,-0.029943191074463225
521,5,0.013558689177364087,-0.0053685958329933664,-0.041017870212368024,-0.030058896206109846
521,6,0.01693930121782172,-0.005456999880900541,-0.041017915813449,-0.029943177165944603
188,0,0.0012753385075290546,-0.0030048030512514422,-0.020617150751317825,-0.016726702123498687
259,0,0.004067276252702884,-0.002953071458577261,-0.018853403062101818,-0.016315787878603334
259,1,0.004176098070255035,-0.002953071458577261,-0.01883561909991466,-0.016315787878603334
259,2,0.006535432014847841,-0.002953071458577262,-0.018853403062101818,-0.016246287986221405
461,0,0.0004115254448082813,-0.0036827108686194074,-0.031112216527868428,-0.020149284998793426
