row_index,solution_id,fitness,deg_CmpFan_s_mapWc_in,deg_CmpH_s_mapEff_in,deg_TrbH_s_mapEff_in
593,0,0.007783854358888518,-0.0023388432135055108,-0.0181992474362898,-0.021166489289627916
593,1,0.007822457291598322,-0.0023388432136151904,-0.018183792756273222,-0.021169404144333433
593,2,0.007842380286227956,-0.002349874396975372,-0.018192686964298547,-0.021175961476872753
593,3,0.008188163792004936,-0.0023335784525804464,-0.018173511402744837,-0.021159935404695848
593,4,0.011919528481851713,-0.002270086219771905,-0.018195794000312116,-0.02117026385463974
593,5,0.013152072147842616,-0.00233884321355358,-0.020785603120680958,-0.019255692050913403
143,0,0.0018085706192882947,-0.0018057071277550066,-0.016076356746588475,-0.007983323269169569
864,0,0.004601146319301304,-0.005694348350624601,-0.036730807634306514,-0.026971192788193668
864,1,0.005904611515910468,-0.005694377236268564,-0.03673122916746824,-0.027012816097608285
864,2,0.00802109405590767,-0.005694348348108307,-0.036730682417751126,-0.027050170465044807
128,0,0.007524606163097046,-0.001017938143945208,-0.006048230762537125,-0.011541882767934676
128,1,0.011960324509835417,-0.001017938143945208,-0.006048230762537125,-0.011671836273875368
344,0,0.005757986848399187,-0.004851712929185463,-0.02639256297703721,-0.032956261302744545
344,1,0.009072256031986622,-0.004851542540546082,-0.026266634997677125,-0.03295658625841837
