row_index,best_fitness,rmse,elapsed_time,sim_calls,generations,true_Fan Wc,est_Fan Wc,err_Fan Wc,true_HPC Eff,est_HPC Eff,err_HPC Eff,true_HPT Eff,est_HPT Eff,err_HPT Eff
83,0.0,0.020887715202231046,514.3184108734131,5481,60,-0.0273420966108798,-0.024494652200174175,0.002847444410705627,-0.0043628848173577,-0.03687429054473802,0.03251140572738032,-0.0363792111185923,-0.020765419232373714,0.015613791886218583
53,1.5397182308888456e-07,0.020642299645274396,468.9464807510376,4832,52,0.003087289092331,0.0036799696455895397,0.0005926805532585396,-0.0415053638224878,-0.017136504945919777,0.02436885887656802,-0.0017625441514836,-0.027918251955930173,0.026155707804446572
70,0.0,0.023353657542531964,431.9508967399597,4549,49,0.0061005485077673,-0.0044243706285672715,0.010524919136334573,-0.041141623466625,-0.0029243880573697504,0.03821723540925525,-0.0168959872125706,-0.008843102220919162,0.00805288499165144
45,9.238309472855923e-07,0.014065250598047948,379.52851009368896,3955,43,0.0098614977228619,0.010358677074386622,0.0004971793515247212,-0.0360458605029121,-0.020744760807830512,0.015301099695081588,-0.0084900135897771,-0.027440554056245493,0.018950540466468394
44,0.0,0.017919371901086646,678.9456369876862,7447,81,-0.0365544331926951,-0.041604880103524415,0.005050446910829315,-0.0326353793756589,-0.045532015495862777,0.012896636120203878,-0.0489901023924493,-0.02121454783862791,0.027775554553821392
