row_index,solution_id,fitness,deg_CmpFan_s_mapWc_in,deg_CmpH_s_mapEff_in,deg_TrbH_s_mapEff_in
306,0,0.0052193164067833005,-0.00400645787983388,-0.027109185112369014,-0.022763617835016462
306,1,0.006935468689711525,-0.00400645787983388,-0.028616271452157668,-0.021694703995182283
941,0,0.010165543873379503,-0.005043317645341159,-0.03396634273509599,-0.028268785417064554
941,1,0.011491456117609305,-0.005043320530962612,-0.03386684701507216,-0.02827053758681542
941,2,0.011803578238112226,-0.005043318076791868,-0.03407810718237528,-0.028271246897201407
240,0,0.003935997791965034,-0.0021455703837137932,-0.014981606283406902,-0.014051331980055804
240,1,0.004801030065990232,-0.002159574777855693,-0.015003760852693988,-0.014051331980055804
382,0,0.004586169205133312,-0.0035798568703768693,-0.026356808467427786,-0.02163277507541725
427,0,0.007605554929067686,-0.0047506181593639785,-0.03540497251987115,-0.027901260764689986
427,1,0.009541950128380992,-0.004749659615681703,-0.03540246732748056,-0.02797721633531659
427,2,0.009777501290272857,-0.004747227888149227,-0.035293609296373575,-0.027901274098042043
427,3,0.01333480732680375,-0.004681652030339643,-0.035393830073377874,-0.027901024922374073
427,4,0.015179276245886676,-0.004749473828264593,-0.0354045963858532,-0.028077066457215007
