row_index,solution_id,fitness,deg_CmpFan_s_mapWc_in,deg_CmpH_s_mapEff_in,deg_TrbH_s_mapEff_in
805,0,2.055124557219667e-07,-0.0032176673102535308,0.0,-0.042602096386912404
751,0,1.257859609136346e-07,-0.016300767950311434,-0.0025917581880386506,-0.008264364778931544
375,0,2.440312557860373e-07,-0.004185925574712493,-0.014955322965133112,-0.02478277350048707
462,0,1.533747700680467e-06,-0.001358350627756421,-0.03415029508772318,-0.025329951524009707
668,0,3.7215862478456136e-07,-0.014433579263923559,-0.015348143381786515,-0.011174454044936864
