row_index,solution_id,fitness,deg_CmpFan_s_mapWc_in,deg_CmpH_s_mapEff_in,deg_TrbH_s_mapEff_in
628,0,0.004456699368849371,-0.003893091589482333,-0.03126889031273742,-0.019677762828935547
628,1,0.008147148454188825,-0.0038930915946745006,-0.03138395552418842,-0.019678604686506923
456,0,0.002163117086180339,-0.0035689908440618666,-0.028922417168038603,-0.019862911445540695
456,1,0.0023835619536994217,-0.0035689908440618666,-0.028905386601690636,-0.019862911445540695
456,2,0.0025175106159823113,-0.0035689908440618666,-0.028944296857502484,-0.019862911445540695
456,3,0.0033207733394250935,-0.0035887371898585536,-0.02892249094604688,-0.019866833468334594
577,0,0.005422399549130171,-0.0022872451654072897,-0.021583197186704928,-0.013676626186865062
577,1,0.006276749608428808,-0.002287245165407218,-0.021530251252204938,-0.013676626186866391
577,2,0.007908620632459947,-0.002287245165406624,-0.021486786142095763,-0.013676626186855154
577,3,0.009792078261885488,-0.0022872451685336057,-0.02158319724086364,-0.013579230927417814
577,4,0.009808755327638046,-0.002287245166397215,-0.021446343675858986,-0.013676625571789917
453,0,0.003950834976930101,-0.0057136623408771126,-0.04358461953313362,-0.029028496629971142
453,1,0.005859776935243493,-0.0057136623408771126,-0.043584619533133584,-0.0290731573131026
906,0,0.0015819051623878176,-0.004180670704989528,-0.032821210368407794,-0.020997366229677038
906,1,0.0019203995575345874,-0.004180670704989528,-0.032802500862801426,-0.020997366229669683
