row_index,best_fitness,rmse,elapsed_time,sim_calls,generations,true_Fan Wc,est_Fan Wc,err_Fan Wc,true_HPC Eff,est_HPC Eff,err_HPC Eff,true_HPT Eff,est_HPT Eff,err_HPT Eff
318,9.491736600935462e-07,0.007564400123384831,1873.5328361988068,11008,81,-0.004366293573567,-0.0043667810267845565,4.8745321755677e-07,-0.0315167877013546,-0.021214806533931294,0.010301981167423303,-0.0226210160985857,-0.030716053557945492,0.008095037459359793
865,7.415551085148645e-06,0.0021307122099588033,2911.6369020938873,17413,132,-0.005576503843718,-0.005576228639406243,2.752043117568506e-07,-0.0382637291879555,-0.041145396898975804,0.0028816677110203026,-0.0257427256997217,-0.02343712497701879,0.0023056007227029093
459,6.231652286556906e-05,0.004679959353535,2148.251921415329,13201,97,-0.0036200682060618,-0.003620294068570849,2.2586250904895605e-07,-0.0305549763261873,-0.03689540857846205,0.006340432252274746,-0.0200515972474548,-0.015001351960786091,0.00505024528666871
690,0.00011118045273277494,0.010832415586981173,3146.9577486515045,19621,145,-0.0031940991267155,-0.0031950738700682723,9.747433527725058e-07,-0.0253451932615504,-0.010547270465473648,0.014797922796076753,-0.0163211314788352,-0.02785565194214209,0.011534520463306889
251,1.6186935319722464e-05,0.009755021523399543,2810.8576934337616,17727,132,-0.002652209334719,-0.0026519315307007322,2.778040182676786e-07,-0.0185956109305156,-0.03184425623468178,0.013248645304166182,-0.0142771928787825,-0.0037912626723971207,0.010485930206385378
